Day,sex,mean_height,std_height,mean_weight,std_weight
98,0,62.013,2.05325043,6.5265,0.7582487700000001
99,0,62.0981,2.054205148,6.5483,0.759799249
100,0,62.1826,2.055756756,6.5699,0.761320012
101,0,62.2665,2.056662495,6.5914,0.762822722
102,0,62.3499,2.0581701989999996,6.6126,0.7642843079999999
103,0,62.4327,2.059030446,6.6338,0.7658058719999999
104,0,62.5149,2.060491104,6.6547,0.76728691
105,0,62.5966,2.061932004,6.6755,0.7687505800000001
106,0,62.6778,2.062726398,6.6962,0.770196924
107,0,62.7584,2.064123776,6.7166,0.771670174
108,0,62.8384,2.065498208,6.737,0.77313812
109,0,62.918,2.06622712,6.7572,0.774577836
110,0,62.9969,2.067558258,6.7772,0.7759893999999999
111,0,63.0754,2.06887312,6.7971,0.777452298
112,0,63.1533,2.070165174,6.8168,0.7788194
113,0,63.2307,2.0714377319999997,6.8365,0.780249745
114,0,63.3076,2.072057748,6.8559,0.781641159
115,0,63.3839,2.073287369,6.8753,0.78309667
116,0,63.4598,2.074500862,6.8945,0.78445621
117,0,63.5351,2.0756917169999998,6.9135,0.7858575449999999
118,0,63.6099,2.076863235,6.9325,0.7872547
119,0,63.6842,2.0780154459999998,6.9513,0.788624985
120,0,63.758,2.07914838,6.9699,0.7899684659999999
121,0,63.8313,2.080262067,6.9885,0.7913777399999999
122,0,63.9041,2.081356537,7.0069,0.792690597
123,0,63.9765,2.0824350750000002,7.0252,0.7940583560000001
124,0,64.0483,2.083491199,7.0434,0.7954111620000001
125,0,64.1197,2.084531447,7.0615,0.796749045
126,0,64.1906,2.085552594,7.0794,0.798131556
127,0,64.261,2.08655467,7.0972,0.79949958
128,0,64.331,2.08754095,7.1149,0.8007819949999999
129,0,64.4006,2.088511458,7.1325,0.80212095
130,0,64.4697,2.089462977,7.15,0.8034455
131,0,64.5383,2.0903955370000005,7.1674,0.8048273459999999
132,0,64.6066,2.091961708,7.1846,0.8061121199999999
133,0,64.6744,2.0928635840000003,7.2018,0.807465816
134,0,64.7418,2.093749812,7.2188,0.8087943519999999
135,0,64.8088,2.094620416,7.2357,0.810108972
136,0,64.8755,2.0954786500000004,7.2525,0.8114097
137,0,64.9417,2.0969674929999997,7.2692,0.8126965599999999
138,0,65.0075,2.097792025,7.2858,0.813969576
139,0,65.073,2.0986042499999997,7.3023,0.815301795
